title,author,genre,url_book,url_image
Воскреситель. Анатомія фантастичних істот,Ерік Б. Гадспет,Художня література,/catalog/fentezi/voskresytel-anatomiya-fantastychnykh-istot/,https://book-ye.com.ua//upload/resize_cache/iblock/a08/230_355_1/2253c70f_f5f8_11eb_8150_0050568ef5e6_418a22b5_19e7_11ec_8150_0050568ef5e6.jpg
Стокгольм,Валентин Поспєлов,Художня література,/catalog/suchasna-ukrayinska-proza/stokholm/,https://book-ye.com.ua//upload/resize_cache/iblock/678/230_355_1/a5313c9f_dd85_11ec_8170_0050568ef5e6_07bc72e1_dd86_11ec_8170_0050568ef5e6.jpg
Король шрамів. Книга 1,Лі Бардуґо,Художня література,/catalog/fentezi/korol-shramiv-knyha-1/,https://book-ye.com.ua//upload/resize_cache/iblock/fa6/230_355_1/9e5d0acf_fb8d_11ec_8172_0050568ef5e6_78f4e548_131d_11ed_8173_0050568ef5e6.jpg
Іспанський любовний обман,Елена Армас,Художня література,/catalog/lyubovni-romany/ispanskyj-lyubovnyj-obman/,https://book-ye.com.ua//upload/resize_cache/iblock/9b2/230_355_1/8ba61056_8528_11ed_8177_0050568ef5e6_f8c50bba_8528_11ed_8177_0050568ef5e6.jpg
Сад Гетсиманський (Неканонічний канон),Іван Багряний,Художня література,/catalog/ukrayinska-klasyka/sad-getsymanskyj-nekanonichnyj-kanon/,https://book-ye.com.ua//upload/resize_cache/iblock/171/230_355_1/cd596983_674f_11ed_8175_0050568ef5e6_3430ef84_6750_11ed_8175_0050568ef5e6.jpg
Поцілунок у Нью-Йорку,Кетрін Райдер,Художня література,/catalog/suchasna-zarubizhna-proza/potsilunok-u-nyu-yorku/,https://book-ye.com.ua//upload/resize_cache/iblock/645/230_355_1/0213e963_3598_11ec_8154_0050568ef5e6_9e1252ce_6594_11ed_8175_0050568ef5e6.jpg
Кравчиня з Парижа,Джорджія Кауфманн,Художня література,/catalog/suchasna-zarubizhna-proza/kravchynya-z-paryzha/,https://book-ye.com.ua//upload/resize_cache/iblock/c63/230_355_1/51826b70_029d_11ed_8173_0050568ef5e6_d65afd4e_029f_11ed_8173_0050568ef5e6.jpg
Останній дім на безпечній вулиці,Катріона Ворд,Художня література,/catalog/zhakhy-trylery/ostannij-dim-na-bezpechnij-vulytsi/,https://book-ye.com.ua//upload/resize_cache/iblock/9dc/230_355_1/94bebf9f_6a5e_11ed_8176_0050568ef5e6_bfcc4683_82ad_11ed_8177_0050568ef5e6.jpg
1984,Джордж Орвелл,Художня література,/catalog/zarubizhna-klasyka/1984/,https://book-ye.com.ua//upload/resize_cache/iblock/702/230_355_1/cfa051db_74e0_11e6_80be_000c29ae1566_3727b395_a703_11ed_817c_0050568ef5e6.jpg
З Лондона з любов'ю,Сара Джіо,Художня література,/catalog/suchasna-zarubizhna-proza/z-londona-z-lyubov-yu/,https://book-ye.com.ua//upload/resize_cache/iblock/800/230_355_1/ff3f4edf_60ed_11ed_8175_0050568ef5e6_4275a309_60ee_11ed_8175_0050568ef5e6.jpg
Спитайте Мієчку,Євгенія Кузнєцова,Художня література,/catalog/suchasna-ukrayinska-proza/spytajte-miyechku/,https://book-ye.com.ua//upload/resize_cache/iblock/04d/230_355_1/da381aab_6849_11eb_8148_000c29ae1566_41a78ca3_684b_11eb_8148_000c29ae1566.jpg
Сад Гетсиманький. Тигролови (КУБ),Іван Багряний,Художня література,/catalog/ukrayinska-klasyka/sad-getsymankyj-tyhrolovy-kub/,https://book-ye.com.ua//upload/resize_cache/iblock/3cb/230_355_1/3d1afba2_81fe_11ed_8177_0050568ef5e6_71abc111_8200_11ed_8177_0050568ef5e6.jpg
Поміж злодіїв. Книга 1,Едрієнн Янґ,Художня література,/catalog/fentezi/pomizh-zlodiyiv-knyha-1/,https://book-ye.com.ua//upload/resize_cache/iblock/ca1/230_355_1/859f5dea_60ee_11ed_8175_0050568ef5e6_db168924_a3b3_11ed_817b_0050568ef5e6.jpg
