title,author,genre,url_book,url_image
Безсмертний Галк. Том 1. Двоє в одному,Ал Юінг,Художня література,/catalog/komiksy/bezsmertnyj-galk-tom-1-dvoye-v-odnomu/,https://book-ye.com.ua//upload/resize_cache/iblock/2e3/230_355_1/afd5020e_57d5_11e9_8112_000c29ae1566_530a5c9f_2d05_11ed_8175_0050568ef5e6.jpg
Джалапіта: мала проза,Емма Андієвська,Художня література,/catalog/suchasna-ukrayinska-proza/dzhalapita-mala-proza/,https://book-ye.com.ua//upload/resize_cache/iblock/5e5/230_355_1/59691dee_69f2_11eb_8148_000c29ae1566_6a989385_69f3_11eb_8148_000c29ae1566.jpg
Офіцери і джентельмени. Книга 2,Івлін Во,Художня література,/catalog/zarubizhna-klasyka/ofitsery-i-dzhentelmeny-knyha-2/,https://book-ye.com.ua//upload/resize_cache/iblock/85a/230_355_1/0cfbdd0a_7c05_11eb_814a_0050568ef5e6_98c4ccd7_7c06_11eb_814a_0050568ef5e6.jpg
З жінками по-доброму не можна,Ремон Кено,Художня література,/catalog/zarubizhna-klasyka/z-zhinkamy-po-dobromu-ne-mozhna/,https://book-ye.com.ua//upload/resize_cache/iblock/b9e/230_355_1/9945776e_72f0_11e9_8112_000c29ae1566_1f463158_7939_11ec_815f_0050568ef5e6.jpg
Варан (Світи Марини та Сергія Дяченків),Марина Дяченко,Художня література,/catalog/fentezi/varan-svity-maryny-ta-serhiya-dyachenkiv/,https://book-ye.com.ua//upload/resize_cache/iblock/9b1/230_355_1/d4f52df4_7c39_11eb_814a_0050568ef5e6_c49b2b0f_7c3a_11eb_814a_0050568ef5e6.jpg
"Вибране: Микола Зеров, Євген Плужник (Шкільна бібліотека)",Микола Зеров,Художня література,/catalog/ukrayinska-klasyka/vybrane-mykola-zerov-yevhen-pluzhnyk-shkilna-biblioteka/,https://book-ye.com.ua//upload/resize_cache/iblock/118/230_355_1/eaa6c48e_5cc5_11eb_8146_000c29ae1566_a71fa1aa_5cc6_11eb_8146_000c29ae1566.jpg
Секрети Лос-Анджелеса,Джеймс Еллрой,Художня література,/catalog/detektyvy/sekrety-los-andzhelesa/,https://book-ye.com.ua//upload/resize_cache/iblock/4e6/230_355_1/b8ca02fe_07ae_11ea_8123_000c29ae1566_05d7ca6a_07c2_11ea_8123_000c29ae1566.jpg
Фама про велосипедистів,Светислав Басара,Художня література,/catalog/suchasna-zarubizhna-proza/fama-pro-velosypedystiv/,https://book-ye.com.ua//upload/resize_cache/iblock/ab8/230_355_1/6c0c9283_f921_11e7_80e4_000c29ae1566_cbe51559_b0a3_11ea_8138_000c29ae1566.jpg
Пані Небезпека (Danger Girl),Джей Скотт Кемпбелл,Художня література,/catalog/komiksy/pani-nebezpeka-danger-girl/,https://book-ye.com.ua//upload/resize_cache/iblock/19b/230_355_1/82647f58_fcd6_11ea_813d_000c29ae1566_8a6030cf_fcdb_11ea_813d_000c29ae1566.jpg
У вогні плавильника. Золото,Ганна Гороженко,Художня література,/catalog/suchasna-ukrayinska-proza/u-vohni-plavylnyka-zoloto/,https://book-ye.com.ua//upload/resize_cache/iblock/b18/230_355_1/fab0e5f7_370e_11ec_8154_0050568ef5e6_c9fe99b5_370f_11ec_8154_0050568ef5e6.jpg
The Murders in the Rue Morgue and Other Stoties = Вбивства на вулиці Морг та інші історії (Білінгва),Едгар Аллан По,Художня література,/catalog/klasyka/the-murders-in-the-rue-morgue-and-other-stoties-vbyvstva-na-vulytsi-morh-ta-inshi-istoriyi-bilinhva/,https://book-ye.com.ua//upload/resize_cache/iblock/e29/230_355_1/cd168baa_6b35_11ed_8176_0050568ef5e6_7f68df9e_6b38_11ed_8176_0050568ef5e6.jpg
Дзеркало смерті,Міґель де Унамуно,Художня література,/catalog/korotki-istoriyi/dzerkalo-smerti/,https://book-ye.com.ua//upload/resize_cache/iblock/a01/230_355_1/603fdcd0_1d25_11ec_8152_0050568ef5e6_afea6563_1d3c_11ec_8152_0050568ef5e6.jpg
Служитель,Андрій Гулкевич,Художня література,/catalog/zhakhy-trylery/sluzhytel/,https://book-ye.com.ua//upload/resize_cache/iblock/b77/230_355_1/6fb5bcce_09c4_11e9_8112_000c29ae1566_55b1ea34_6005_11ed_8175_0050568ef5e6.jpg
Marvel Comics № 27. Дедпул 1,Скотті Янґ,Художня література,/catalog/komiksy/marvel-comics-27-dedpul-1/,https://book-ye.com.ua//upload/resize_cache/iblock/bd0/230_355_1/894c0791_21c2_11ec_8152_0050568ef5e6_9794c5fe_21d4_11ec_8152_0050568ef5e6.jpg
Візит загону горлорізів,Дженіфер Еґан,Художня література,/catalog/suchasna-zarubizhna-proza/vizyt-zahonu-horloriziv/,https://book-ye.com.ua//upload/resize_cache/iblock/e47/230_355_1/7dcde8f3_819f_11e6_80c0_000c29ae1566_37c5ecfe_2e52_11e7_80c5_000c29ae1566.jpg
Невідворотне (тверда обкладинка),Юлія Бережко-Камінська,Художня література,/catalog/poeziya/nevidvorotne-tverda-obkladynka/,https://book-ye.com.ua//upload/resize_cache/iblock/efe/230_355_1/fe733e82_e0fb_11e9_8121_000c29ae1566_758e794f_e0fd_11e9_8121_000c29ae1566.jpg
Лад,Мирослав Дочинець,Художня література,/catalog/suchasna-ukrayinska-proza/lad/,https://book-ye.com.ua//upload/resize_cache/iblock/463/230_355_1/51cac460_8951_11e6_80c0_000c29ae1566_31fd9a6a_329d_11ed_8175_0050568ef5e6.jpg
Боже[Я]вільна,Юлія Гудошник,Художня література,/catalog/suchasna-ukrayinska-proza/bozhe-ya-vilna/,https://book-ye.com.ua//upload/resize_cache/iblock/6a4/230_355_1/4e4779d2_0216_11ea_8123_000c29ae1566_3ad2dcd8_b0ab_11ea_8138_000c29ae1566.jpg
Викрадач мого повітря,Хелен Соул,Художня література,/catalog/suchasna-ukrayinska-proza/vykradach-moho-povitrya/,https://book-ye.com.ua//upload/resize_cache/iblock/c25/230_355_1/225862c6_22c9_11ec_8152_0050568ef5e6_f7ed076e_22c9_11ec_8152_0050568ef5e6.jpg
Чудили і таємниця Підгорецького замку,В'ячеслав Бугайов,Художня література,/catalog/komiksy/chudyly-i-tayemnytsya-pidhoretskoho-zamku/,https://book-ye.com.ua//upload/resize_cache/iblock/470/230_355_1/df85d847_4dd8_11ec_815c_0050568ef5e6_7b9163db_4ddb_11ec_815c_0050568ef5e6.jpg
Бери за горло,Террі Пратчетт,Художня література,/catalog/fentezi/bery-za-horlo/,https://book-ye.com.ua//upload/resize_cache/iblock/d22/230_355_1/e3686b75_83d0_11e6_80c0_000c29ae1566_3fabcf3b_a636_11ed_817c_0050568ef5e6.jpg
Земля людей (Зарубіжні авторські зібрання),Антуан де Сент-Екзюпері,Художня література,/catalog/zarubizhna-klasyka/zemlya-lyudej-zarubizhni-avtorski-zibrannya/,https://book-ye.com.ua//upload/resize_cache/iblock/dc4/230_355_1/76fa2574_7805_11eb_8149_0050568ef5e6_118c8d96_7806_11eb_8149_0050568ef5e6.jpg
Життя після 16:30. Сім років потому,Олександр Терещенко,Художня література,/catalog/suchasna-ukrayinska-proza/zhyttya-pislya-16-30-sim-rokiv-potomu/,https://book-ye.com.ua//upload/resize_cache/iblock/ec8/230_355_1/029fc33b_3d8d_11ec_8154_0050568ef5e6_46d43ec3_3e13_11ec_8154_0050568ef5e6.jpg
Транзишн,Олександр Михед,Художня література,/catalog/suchasna-ukrayinska-proza/tranzyshn/,https://book-ye.com.ua//upload/resize_cache/iblock/e2d/230_355_1/cff36483_8264_11e7_80cf_000c29ae1566_6f573208_8b2b_11e7_80cf_000c29ae1566.jpg
Ратники князя Лева,Петро Лущик,Художня література,/catalog/suchasna-ukrayinska-proza/ratnyky-knyazya-leva/,https://book-ye.com.ua//upload/resize_cache/iblock/8de/230_355_1/516fafc0_781b_11eb_8149_0050568ef5e6_d49116f0_781b_11eb_8149_0050568ef5e6.jpg
Море моря,Ільма Ракуза,Художня література,/catalog/suchasna-zarubizhna-proza/more-morya/,https://book-ye.com.ua//upload/resize_cache/iblock/1be/230_355_1/2effe04b_8a45_11e6_80c0_000c29ae1566_62a06570_b13a_11ea_8138_000c29ae1566.jpg
Три поверхи,Ешколь Нево,Художня література,/catalog/suchasna-zarubizhna-proza/try-poverkhy/,https://book-ye.com.ua//upload/resize_cache/iblock/cda/230_355_1/3e5135e0_5efb_11eb_8146_000c29ae1566_80e7abe5_5efe_11eb_8146_000c29ae1566.jpg
За спиною (нова редакція),Гаська Шиян,Художня література,/catalog/suchasna-ukrayinska-proza/za-spynoyu-nova-redaktsiya/,https://book-ye.com.ua//upload/resize_cache/iblock/100/230_355_1/686a120b_d97b_11e6_80c0_000c29ae1566_9bc70505_cb37_11ea_813b_000c29ae1566.jpg
Захоронена лоза,Артур Юркевич,Художня література,/catalog/suchasna-zarubizhna-proza/zakhoronena-loza/,https://book-ye.com.ua//upload/resize_cache/iblock/f9b/230_355_1/e7ba83b8_8761_11e9_8112_000c29ae1566_370ba1ed_8762_11e9_8112_000c29ae1566.jpg
Хазяїн (Шкільна бібліотека),Іван Карпенко-Карий,Художня література,/catalog/ukrayinska-dramaturhiya/khazyayin-shkilna-biblioteka/,https://book-ye.com.ua//upload/resize_cache/iblock/c46/230_355_1/f4c4a2c8_6aac_11eb_8148_000c29ae1566_803983af_6aad_11eb_8148_000c29ae1566.jpg
Непереможна Залізна Людина. Том 2. Найбільш Розшукуваний Злочинець,Метт Фрекшн,Художня література,/catalog/komiksy/neperemozhna-zalizna-lyudyna-tom-2-najbilsh-rozshukuvanyj-zlochynets/,https://book-ye.com.ua//upload/resize_cache/iblock/a75/230_355_1/f25b7b08_14a0_11ec_8150_0050568ef5e6_7d08b599_14a2_11ec_8150_0050568ef5e6.jpg
Максим Рильський (Митці на прицілі),Вікторія Колесник,Художня література,/catalog/biohrafiyi-vidomykh-lyudej/maksym-rylskyj-myttsi-na-prytsili/,https://book-ye.com.ua//upload/resize_cache/iblock/38a/230_355_1/e0c48790_6c53_11eb_8148_000c29ae1566_9ebfa2da_6c54_11eb_8148_000c29ae1566.jpg
Кім (English Library),Ред'ярд Кіплінґ,Художня література,/catalog/zarubizhna-klasyka/kim-english-library/,https://book-ye.com.ua//upload/resize_cache/iblock/deb/230_355_1/a00cfff3_c30e_11e8_810b_000c29ae1566_2d4dd28e_c30f_11e8_810b_000c29ae1566.jpg
Підхмарне лихо,Давід Б. (П'єр-Франсуа-Бошар),Художня література,/catalog/komiksy/pidkhmarne-lykho/,https://book-ye.com.ua//upload/resize_cache/iblock/df0/230_355_1/d2b6182e_0f12_11ed_8173_0050568ef5e6_e67b87e3_0f17_11ed_8173_0050568ef5e6.jpg
Ніч живого Дедпула,Каллен Банн,Художня література,/catalog/komiksy/nich-zhyvoho-dedpula/,https://book-ye.com.ua//upload/resize_cache/iblock/36c/230_355_1/da58b765_83fa_11e6_80c0_000c29ae1566_8b7f77ba_bd5c_11eb_814a_0050568ef5e6.jpg
Зламана лялька,Єлизавета Олександрова-Зоріна,Художня література,/catalog/suchasna-zarubizhna-proza/zlamana-lyalka/,https://book-ye.com.ua//upload/resize_cache/iblock/7a6/230_355_1/50f7d72b_2120_11e8_80e5_000c29ae1566_3f8adda5_49ef_11eb_8144_000c29ae1566.jpg
Теокріт. Ідилії. Епіграми,Теокріт,Художня література,/catalog/klasychna-zarubizhna-poeziya/teokrit-idyliyi-epihramy/,https://book-ye.com.ua//upload/resize_cache/iblock/e57/230_355_1/8bf46951_0c5e_11eb_813d_000c29ae1566_17b21105_32a4_11ed_8175_0050568ef5e6.jpg
12 місяців (Читацький клуб),Анна Тарнава,Художня література,/catalog/suchasna-ukrayinska-proza/12-misyatsiv-chytatskyj-klub/,https://book-ye.com.ua//upload/resize_cache/iblock/00c/230_355_1/ce7e4659_83e8_11e6_80c0_000c29ae1566_a3b3a017_948d_11ec_816a_0050568ef5e6.jpg
Покоління Х,Дуґлас Коупленд,Художня література,/catalog/suchasna-zarubizhna-proza/pokolinnya-kh/,https://book-ye.com.ua//upload/resize_cache/iblock/509/230_355_1/7504534a_8ec5_11e6_80c0_000c29ae1566_3404587f_327d_11e7_80c5_000c29ae1566.jpg
Знахар (Зарубіжні авторські зібрання),Тадеуш Доленга-Мостович,Художня література,/catalog/zarubizhna-klasyka/znakhar-zarubizhni-avtorski-zibrannya/,https://book-ye.com.ua//upload/resize_cache/iblock/4a2/230_355_1/1379dd5e_5b30_11eb_8146_000c29ae1566_551e4304_5b31_11eb_8146_000c29ae1566.jpg
Борги нашого життя,Андрій Гарасим,Художня література,/catalog/suchasna-ukrayinska-proza/borhy-nashoho-zhyttya/,https://book-ye.com.ua//upload/resize_cache/iblock/963/230_355_1/47f5128a_80cb_11e6_80c0_000c29ae1566_4f122f4a_94ba_11ec_816a_0050568ef5e6.jpg
Дефіляда в Москві (Майстри української прози),Василь Кожелянко,Художня література,/catalog/suchasna-ukrayinska-proza/defilyada-v-moskvi-majstry-ukrayinskoyi-prozy/,https://book-ye.com.ua//upload/resize_cache/iblock/4f5/230_355_1/737dff65_17ab_11eb_813d_000c29ae1566_9b1de67a_ebdc_11ec_8171_0050568ef5e6.jpg
Біґ-Сур,Джек Керуак,Художня література,/catalog/zarubizhna-klasyka/big-sur/,https://book-ye.com.ua//upload/resize_cache/iblock/391/230_355_1/2e5e5b83_1231_11ec_8150_0050568ef5e6_a2d124a8_1233_11ec_8150_0050568ef5e6.jpg
Дуже дивний будинок. 99 романів,Ярослав Мельник,Художня література,/catalog/suchasna-ukrayinska-proza/duzhe-dyvnyj-budynok-99-romaniv/,https://book-ye.com.ua//upload/resize_cache/iblock/216/230_355_1/337b0909_74e4_11eb_8149_0050568ef5e6_d03692a4_74e4_11eb_8149_0050568ef5e6.jpg
Останній з могікан (Класна література),Фенімор Купер,Художня література,/catalog/zarubizhna-klasyka/ostannij-z-mohikan-klasna-literatura/,https://book-ye.com.ua//upload/resize_cache/iblock/4ca/230_355_1/3c60a35c_0fcd_11e7_80c5_000c29ae1566_93981697_2732_11e7_80c5_000c29ae1566.jpg
Зеров. Поховальний промовець,Євгенія Кужавська,Художня література,/catalog/fantastyka/zerov-pokhovalnyj-promovets/,https://book-ye.com.ua//upload/resize_cache/iblock/aee/230_355_1/d3bcd66b_5fdd_11eb_8146_000c29ae1566_39bee11f_5fde_11eb_8146_000c29ae1566.jpg
Богиня,Михайло Юдовський,Художня література,/catalog/suchasna-ukrayinska-proza/bohynya/,https://book-ye.com.ua//upload/resize_cache/iblock/18e/230_355_1/7ed4f217_0e3e_11e7_80c5_000c29ae1566_df3ea1b2_39b6_11e7_80c5_000c29ae1566.png
КВЕСТ. Американським слідом,Фара Набієва,Художня література,/catalog/detektyvy/kvest-amerykanskym-slidom/,https://book-ye.com.ua//upload/resize_cache/iblock/b6f/230_355_1/96c903b5_4c51_11ec_815c_0050568ef5e6_26fb349e_4c53_11ec_815c_0050568ef5e6.jpg
Народ скаже – як зав'яже,Наталя Шумада,Художня література,/catalog/tsytaty-j-aforyzmy/narod-skazhe-yak-zav-yazhe/,https://book-ye.com.ua//upload/resize_cache/iblock/0cd/230_355_1/7fcc45b5_8061_11ed_8177_0050568ef5e6_eca6c09e_8061_11ed_8177_0050568ef5e6.jpg
"Радуйся, жінко!",Мар'яна Савка,Художня література,/catalog/suchasna-ukrayinska-poeziya/radujsya-zhinko/,https://book-ye.com.ua//upload/resize_cache/iblock/71b/230_355_1/2ae05429_0b36_11ec_8150_0050568ef5e6_dba1e096_0b36_11ec_8150_0050568ef5e6.jpg
Three Men in a Boat (To Say Nothing of the Dog) = Троє у човні (не кажучи про пса) (Білінгва),Джером К. Джером,Художня література,/catalog/klasyka/three-men-in-a-boat-to-say-nothing-of-the-dog-troye-u-chovni-ne-kazhuchy-pro-psa-bilinhva/,https://book-ye.com.ua//upload/resize_cache/iblock/797/230_355_1/75e5b78f_0910_11ea_8123_000c29ae1566_945ee458_0911_11ea_8123_000c29ae1566.jpg
Переможець отримає все (Детективна аґенція ВО),Олексій Волков,Художня література,/catalog/detektyvy/peremozhets-otrymaye-vse-detektyvna-agentsiya-vo/,https://book-ye.com.ua//upload/resize_cache/iblock/742/230_355_1/c1d3a5f3_c632_11e8_810b_000c29ae1566_cd291e7d_6008_11ed_8175_0050568ef5e6.jpg
Волоцюги дгарми,Джек Керуак,Художня література,/catalog/zarubizhna-klasyka/volotsyuhy-dharmy/,https://book-ye.com.ua//upload/resize_cache/iblock/563/230_355_1/9247d7e0_1240_11ec_8150_0050568ef5e6_9edbc1fe_1242_11ec_8150_0050568ef5e6.jpg
Соловецький етап. Антологія,Юрій Винничук,Художня література,/catalog/ukrayinska-klasyka/solovetskyj-etap-antolohiya/,https://book-ye.com.ua//upload/resize_cache/iblock/be7/230_355_1/2993aeda_72b3_11eb_8149_0050568ef5e6_3e6f74c0_72b5_11eb_8149_0050568ef5e6.jpg
"Ґай Валерій Катулл. Повне зібрання творів: Байдики, Поеми, Елегії та Епіграми",Ґай Валерій Катулл,Художня література,/catalog/klasychna-zarubizhna-poeziya/gaj-valerij-katull-povne-zibrannya-tvoriv-bajdyky-poemy-elehiyi-ta-epihramy/,https://book-ye.com.ua//upload/resize_cache/iblock/7d5/230_355_1/bcc34ff4_1d3a_11ec_8152_0050568ef5e6_211e39dd_1d3d_11ec_8152_0050568ef5e6.png
Кінь Перуна (Правдива історія Захара Беркута),Олег Говда,Художня література,/catalog/fentezi/kin-peruna-pravdyva-istoriya-zakhara-berkuta/,https://book-ye.com.ua//upload/resize_cache/iblock/58d/230_355_1/b8b41e53_6bb9_11eb_8148_000c29ae1566_381e3a17_6bba_11eb_8148_000c29ae1566.jpg
Вибір капітана Котляревського. Нотатки про палаючу Європу,Василь Добрянський,Художня література,/catalog/suchasna-ukrayinska-proza/vybir-kapitana-kotlyarevskoho-notatky-pro-palayuchu-yevropu/,https://book-ye.com.ua//upload/resize_cache/iblock/d5f/230_355_1/80630b3b_6c3d_11eb_8148_000c29ae1566_fbb67d7f_6c3d_11eb_8148_000c29ae1566.jpg
Вернон Субутекс #1 ,Депант,Художня література,/catalog/suchasna-zarubizhna-proza/vernon-subuteks-1-/,https://book-ye.com.ua//upload/resize_cache/iblock/019/230_355_1/09160f90_b35c_11e9_811b_000c29ae1566_6526eb34_b35c_11e9_811b_000c29ae1566.jpg
Лицар з Кульчиць,Ярослав Яріш,Художня література,/catalog/suchasna-ukrayinska-proza/lytsar-z-kulchyts/,https://book-ye.com.ua//upload/resize_cache/iblock/1f3/230_355_1/00b66821_773f_11eb_8149_0050568ef5e6_01f1bdc8_7740_11eb_8149_0050568ef5e6.jpg
Гайдамаки (Шкільна бібліотека) (жовта),Тарас Шевченко,Художня література,/catalog/klasychna-ukrayinska-poeziya/gajdamaky-shkilna-biblioteka-zhovta/,https://book-ye.com.ua//upload/resize_cache/iblock/fd2/230_355_1/a6e1817b_8bb0_11eb_814a_0050568ef5e6_69d0ff48_8bb1_11eb_814a_0050568ef5e6.jpg
"М, край прірви",Бернар Міньє,Художня література,/catalog/kiberpank/m-kraj-prirvy/,https://book-ye.com.ua//upload/resize_cache/iblock/71f/230_355_1/0aebcc04_f8e3_11eb_8150_0050568ef5e6_8a4074c7_f8e3_11eb_8150_0050568ef5e6.jpg
Нарцис і Гольдмунд (Карта світу),Герман Гессе,Художня література,/catalog/zarubizhna-klasyka/nartsys-i-goldmund-karta-svitu/,https://book-ye.com.ua//upload/resize_cache/iblock/5a6/230_355_1/495f2c04_775d_11eb_8149_0050568ef5e6_21c1dc3b_775e_11eb_8149_0050568ef5e6.jpg
Спогади про Шерлока Холмса: Остання справа та інші історії (English Library),Артур Конан Дойл,Художня література,/catalog/zarubizhna-klasyka/spohady-pro-sherloka-kholmsa-ostannya-sprava-ta-inshi-istoriyi-english-library/,https://book-ye.com.ua//upload/resize_cache/iblock/806/230_355_1/5451448b_48fe_11ea_8127_000c29ae1566_8a3115bf_48ff_11ea_8127_000c29ae1566.jpg
Медуза-Ґорґона,Ольга Слоньовська,Художня література,/catalog/suchasna-ukrayinska-proza/meduza-gorgona/,https://book-ye.com.ua//upload/resize_cache/iblock/f7a/230_355_1/9eec040b_f704_11e9_8123_000c29ae1566_86f37944_f705_11e9_8123_000c29ae1566.jpg
Право на вбивство,Ксенія Циганчук,Художня література,/catalog/detektyvy/pravo-na-vbyvstvo/,https://book-ye.com.ua//upload/resize_cache/iblock/2f0/230_355_1/81e98336_ff55_11eb_8150_0050568ef5e6_f117fd09_ff55_11eb_8150_0050568ef5e6.jpg
Флорентійська чарівниця,Салман Рушді,Художня література,/catalog/suchasna-zarubizhna-proza/florentijska-charivnytsya/,https://book-ye.com.ua//upload/resize_cache/iblock/c99/230_355_1/c1e71ca1_9464_11e6_80c0_000c29ae1566_356476af_72d5_11eb_8149_0050568ef5e6.jpg
Нарцис і Гольдмунд (Карта світу),Герман Гессе,Художня література,/catalog/zarubizhna-klasyka/nartsys-i-goldmund-karta-svitu/,https://book-ye.com.ua//upload/resize_cache/iblock/5a6/230_355_1/495f2c04_775d_11eb_8149_0050568ef5e6_21c1dc3b_775e_11eb_8149_0050568ef5e6.jpg
Спогади про Шерлока Холмса: Остання справа та інші історії (English Library),Артур Конан Дойл,Художня література,/catalog/zarubizhna-klasyka/spohady-pro-sherloka-kholmsa-ostannya-sprava-ta-inshi-istoriyi-english-library/,https://book-ye.com.ua//upload/resize_cache/iblock/806/230_355_1/5451448b_48fe_11ea_8127_000c29ae1566_8a3115bf_48ff_11ea_8127_000c29ae1566.jpg
Медуза-Ґорґона,Ольга Слоньовська,Художня література,/catalog/suchasna-ukrayinska-proza/meduza-gorgona/,https://book-ye.com.ua//upload/resize_cache/iblock/f7a/230_355_1/9eec040b_f704_11e9_8123_000c29ae1566_86f37944_f705_11e9_8123_000c29ae1566.jpg
Право на вбивство,Ксенія Циганчук,Художня література,/catalog/detektyvy/pravo-na-vbyvstvo/,https://book-ye.com.ua//upload/resize_cache/iblock/2f0/230_355_1/81e98336_ff55_11eb_8150_0050568ef5e6_f117fd09_ff55_11eb_8150_0050568ef5e6.jpg
Три заручники,Джон Бакен,Художня література,/catalog/zarubizhna-klasyka/try-zaruchnyky/,https://book-ye.com.ua//upload/resize_cache/iblock/74c/230_355_1/b6196f4f_1aca_11e7_80c5_000c29ae1566_e48c0434_4470_11e7_80c7_000c29ae1566.jpg
Кіллтопія. Том 1,Дейв Кук,Художня література,/catalog/komiksy/killtopiya-tom-1/,https://book-ye.com.ua//upload/resize_cache/iblock/847/230_355_1/876c83c0_dca6_11ea_813c_000c29ae1566_26d1edcf_dca7_11ea_813c_000c29ae1566.jpg
Флорентійська чарівниця,Салман Рушді,Художня література,/catalog/suchasna-zarubizhna-proza/florentijska-charivnytsya/,https://book-ye.com.ua//upload/resize_cache/iblock/c99/230_355_1/c1e71ca1_9464_11e6_80c0_000c29ae1566_356476af_72d5_11eb_8149_0050568ef5e6.jpg
Смерть у Вавилоні Кохання в Стамбулі,Іскандер Пала,Художня література,/catalog/suchasna-zarubizhna-proza/smert-u-vavyloni-kokhannya-v-stambuli/,https://book-ye.com.ua//upload/resize_cache/iblock/f04/230_355_1/f2de970d_5ff5_11eb_8146_000c29ae1566_795232cf_60ae_11eb_8146_000c29ae1566.jpg
Орхідей для міс Блендіш не буде,Джеймс Гедлі Чейз,Художня література,/catalog/anhlijskyj-detektyv/orkhidej-dlya-mis-blendish-ne-bude/,https://book-ye.com.ua//upload/iblock/957/d055f630_e663_11e7_80da_000c29ae1566_49f91d4f_e665_11e7_80da_000c29ae1566.jpg
Очима Заходу. Самодержавство і війна. Том 3,Джозеф Конрад,Художня література,/catalog/zarubizhna-klasyka/ochyma-zakhodu-samoderzhavstvo-i-vijna-tom-3/,https://book-ye.com.ua//upload/resize_cache/iblock/98b/230_355_1/5884589e_6cb5_11e9_8112_000c29ae1566_17d9368a_86a2_11ed_8177_0050568ef5e6.jpg
Sweet СВІТ,Олесь Ільченко,Художня література,/catalog/suchasna-ukrayinska-proza/sweet-svit/,https://book-ye.com.ua//upload/resize_cache/iblock/31c/230_355_1/dc9184af_3595_11ec_8154_0050568ef5e6_5492713d_3597_11ec_8154_0050568ef5e6.jpg
Альянс. Трилогія «Палімпсест». Книга 2,Ярина Каторож,Художня література,/catalog/fentezi/alyans-trylohiya-palimpsest-knyha-2/,https://book-ye.com.ua//upload/resize_cache/iblock/3fd/230_355_1/d5a591e2_3a37_11eb_8141_000c29ae1566_97ca67e9_3a38_11eb_8141_000c29ae1566.jpg
"Ворог, або Гнів Божий",Сергій Постоловський,Художня література,/catalog/suchasna-ukrayinska-proza/voroh-abo-gniv-bozhyj/,https://book-ye.com.ua//upload/resize_cache/iblock/9c8/230_355_1/dd667774_8327_11eb_814a_0050568ef5e6_d7464ca0_8328_11eb_814a_0050568ef5e6.jpg
Метаморфози (Бібліотека світової літератури),Апулей,Художня література,/catalog/zarubizhna-klasyka/metamorfozy-biblioteka-svitovoyi-literatury/,https://book-ye.com.ua//upload/resize_cache/iblock/f1b/230_355_1/70d8c3b1_88a0_11eb_814a_0050568ef5e6_d3ba56e7_88a1_11eb_814a_0050568ef5e6.jpg
Пара Блог. Частина 2. Таємниця карпатського єті,Еван Вольф,Художня література,/catalog/komiksy/para-bloh-chastyna-2-tayemnytsya-karpatskoho-yeti/,https://book-ye.com.ua//upload/resize_cache/iblock/42c/230_355_1/50bd4a9d_e8f4_11e9_8123_000c29ae1566_934fe489_e8f4_11e9_8123_000c29ae1566.jpg
Ромцьо. Львів'янин між трьох окупацій,Роман Джозеф Швед,Художня література,/catalog/suchasna-zarubizhna-proza/romtso-lviv-yanyn-mizh-trokh-okupatsij/,https://book-ye.com.ua//upload/resize_cache/iblock/f5c/230_355_1/0a061523_3606_11eb_8141_000c29ae1566_dd1332a8_3606_11eb_8141_000c29ae1566.jpg
Шампанське-пиво-шампанське,Ігор Астапенко,Художня література,/catalog/suchasna-ukrayinska-poeziya/shampanske-pyvo-shampanske/,https://book-ye.com.ua//upload/iblock/8d2/d5555ddd_dd10_11e8_810f_000c29ae1566_453130f8_dd11_11e8_810f_000c29ae1566.png
Серед темної ночі (Скарби),Борис Грінченко,Художня література,/catalog/ukrayinska-klasyka/sered-temnoyi-nochi-skarby/,https://book-ye.com.ua//upload/resize_cache/iblock/f08/230_355_1/2f8b6d0b_18b9_11e9_8112_000c29ae1566_9f367327_3439_11ed_8175_0050568ef5e6.jpg
Хроніка дрібниць,Ален Бешич,Художня література,/catalog/suchasna-zarubizhna-poeziya/khronika-dribnyts/,https://book-ye.com.ua//upload/resize_cache/iblock/219/230_355_1/c60c9ed5_28e7_11eb_8140_000c29ae1566_fcc3de71_28eb_11eb_8140_000c29ae1566.jpg
І гойдалка злітає знову,Оксана Кір'ян,Художня література,/catalog/suchasna-ukrayinska-proza/i-hojdalka-zlitaye-znovu/,https://book-ye.com.ua//upload/resize_cache/iblock/c8b/230_355_1/ef2f6771_6a22_11ec_815f_0050568ef5e6_cee3f9c3_cf94_11ec_816f_0050568ef5e6.jpg
Solo OM,Ольга Микитюк,Художня література,/catalog/suchasna-ukrayinska-proza/solo-om/,https://book-ye.com.ua//upload/resize_cache/iblock/78b/230_355_1/7a50fa56_cdcf_11e7_80d4_000c29ae1566_bb4dac17_cdcf_11e7_80d4_000c29ae1566.jpg
Нотатки Семена Паливоди. Книга 1. Куля для вовкулаки,Юрій Сорока,Художня література,/catalog/suchasna-ukrayinska-proza/notatky-semena-palyvody-knyha-1-kulya-dlya-vovkulaky/,https://book-ye.com.ua//upload/resize_cache/iblock/db4/230_355_1/2a3c3129_74f8_11eb_8149_0050568ef5e6_e29278d7_74f8_11eb_8149_0050568ef5e6.jpg
